"""0"",""1"",""00"",""01"",""10"",""11"",""000"",""001"",""010"",""011"",""100"",""101"",""110"",""111"""
10,10,12,8,8,12,18,14,14,14,14,14,14,19
8,8,16,11,11,15,15,16,14,12,12,14,16,16
7,7,13,12,12,12,16,15,17,14,14,17,15,16
11,11,15,15,15,17,19,15,13,13,13,13,15,19
6,6,13,13,13,13,12,13,11,13,13,11,13,12
10,10,12,12,12,12,16,15,16,17,17,16,15,16
15,15,11,11,11,11,14,14,16,14,14,16,14,14
10,10,13,14,14,13,14,18,12,11,11,12,18,15
6,6,9,9,9,9,15,16,11,16,16,11,16,14
26,26,13,15,15,14,15,17,15,14,14,15,17,17
6,6,10,12,12,10,14,21,11,21,21,11,21,14
6,6,12,14,14,14,15,13,12,17,17,12,13,17
8,8,6,7,7,5,13,10,13,10,10,13,10,14
6,6,12,14,14,14,15,14,18,15,15,18,14,15
6,6,10,13,13,10,17,15,15,14,14,15,15,17
25,25,13,26,26,14,15,15,16,19,19,16,15,18
6,6,12,15,15,12,12,13,13,13,13,13,13,13
9,9,14,17,17,14,21,14,13,14,14,13,14,21
16,16,10,13,13,10,17,14,16,13,13,16,14,18
12,12,15,11,11,17,14,15,19,13,13,19,15,16
6,6,11,24,24,12,14,12,18,12,12,18,12,16
10,10,12,14,14,12,16,12,16,14,14,16,12,14
8,8,11,15,15,11,13,21,16,14,14,16,21,14
10,10,18,13,13,14,14,15,12,14,14,12,15,14
9,9,13,12,12,15,14,19,13,19,19,13,19,14
8,8,12,13,13,12,16,20,11,13,13,11,20,16
10,10,11,17,17,11,16,17,27,13,13,27,17,16
21,21,12,18,18,12,18,17,20,14,14,20,17,17
4,4,6,9,9,6,11,10,10,10,10,10,10,10
18,18,14,12,12,14,18,12,14,15,15,14,12,18
42,42,12,12,12,12,23,17,18,17,17,18,17,23
8,8,13,12,12,13,16,13,12,14,14,12,13,16
7,7,14,10,10,13,14,11,14,11,11,14,11,14
11,11,14,13,13,14,18,13,16,16,16,16,13,18
8,8,12,14,14,12,16,12,16,13,13,16,12,16
11,11,12,16,16,12,24,15,17,15,15,17,15,24
11,11,12,13,13,12,13,13,14,13,13,14,13,13
10,10,15,16,16,15,18,13,15,15,15,15,13,18
8,8,11,11,11,11,14,18,16,12,12,16,18,14
19,19,12,10,10,12,19,15,17,14,14,17,15,19
9,9,13,10,10,13,18,12,13,12,12,13,12,18
10,10,13,12,12,13,21,13,12,14,14,12,13,21
11,11,10,10,10,10,25,15,13,12,12,13,15,26
11,11,14,12,12,12,17,12,14,13,13,14,12,17
8,8,9,8,8,9,19,8,21,8,8,21,8,19
13,13,11,12,12,11,17,11,13,14,14,13,11,17
11,11,14,11,11,14,16,15,14,14,14,14,15,16
11,11,12,13,13,11,13,16,14,17,17,14,16,13
13,13,10,10,10,10,19,12,15,12,12,15,12,20
8,8,10,13,13,10,20,13,13,17,17,13,13,20
16,16,14,12,12,14,16,15,11,16,16,11,15,16
15,15,14,13,13,13,15,14,19,15,15,19,14,15
5,5,12,8,8,12,12,9,11,9,9,11,9,12
12,12,12,16,16,12,17,13,14,13,13,14,13,17
13,13,19,15,15,20,15,11,23,12,12,23,11,15
16,16,16,25,25,16,21,14,12,14,14,12,14,21
9,9,9,16,16,9,36,12,14,12,12,14,12,32
14,14,13,15,15,13,15,17,13,13,13,13,17,15
7,7,13,13,13,13,14,13,16,12,12,16,13,14
10,10,12,15,15,12,15,16,18,15,15,18,16,15
